:+1:	👍
:-1:	👎
:100:	💯
:1234:	🔢
:1st_place_medal:	🥇
:2nd_place_medal:	🥈
:3rd_place_medal:	🥉
:8ball:	🎱
:AB_button_(blood_type):	🆎
:ATM_sign:	🏧
:A_button_(blood_type):	🅰
:Aquarius:	♒
:Aries:	♈
:BACK_arrow:	🔙
:B_button_(blood_type):	🅱
:CL_button:	🆑
:COOL_button:	🆒
:Cancer:	♋
:Capricorn:	♑
:Christmas_tree:	🎄
:END_arrow:	🔚
:FREE_button:	🆓
:Gemini:	♊
:ID_button:	🆔
:Japanese_acceptable_button:	🉑
:Japanese_application_button:	🈸
:Japanese_bargain_button:	🉐
:Japanese_castle:	🏯
:Japanese_congratulations_button:	㊗
:Japanese_discount_button:	🈹
:Japanese_dolls:	🎎
:Japanese_free_of_charge_button:	🈚
:Japanese_here_button:	🈁
:Japanese_monthly_amount_button:	🈷
:Japanese_no_vacancy_button:	🈵
:Japanese_not_free_of_charge_button:	🈶
:Japanese_open_for_business_button:	🈺
:Japanese_passing_grade_button:	🈴
:Japanese_post_office:	🏣
:Japanese_prohibited_button:	🈲
:Japanese_reserved_button:	🈯
:Japanese_secret_button:	㊙
:Japanese_service_charge_button:	🈂
:Japanese_symbol_for_beginner:	🔰
:Japanese_vacancy_button:	🈳
:Leo:	♌
:Libra:	♎
:Mrs._Claus:	🤶
:NEW_button:	🆕
:NG_button:	🆖
:OK_button:	🆗
:OK_hand:	👌
:ON!_arrow:	🔛
:O_button_(blood_type):	🅾
:Ophiuchus:	⛎
:P_button:	🅿
:Pisces:	♓
:SOON_arrow:	🔜
:SOS_button:	🆘
:Sagittarius:	♐
:Santa_Claus:	🎅
:Scorpio:	♏
:Statue_of_Liberty:	🗽
:T-Rex:	🦖
:TOP_arrow:	🔝
:Taurus:	♉
:Tokyo_tower:	🗼
:UP!_button:	🆙
:VS_button:	🆚
:Virgo:	♍
:ZZZ:	💤
:a:	🅰️
:ab:	🆎
:abacus:	🧮
:abc:	🔤
:abcd:	🔡
:accept:	🉑
:accordion:	🪗
:adhesive_bandage:	🩹
:admission_tickets:	🎟️
:adult:	🧑
:adult_tone1:	🧑🏻
:adult_tone2:	🧑🏼
:adult_tone3:	🧑🏽
:adult_tone4:	🧑🏾
:adult_tone5:	🧑🏿
:aerial_tramway:	🚡
:afghanistan:	🇦🇫
:airplane:	✈️
:airplane_arrival:	🛬
:airplane_arriving:	🛬
:airplane_departure:	🛫
:airplane_small:	🛩
:aland_islands:	🇦🇽
:alarm_clock:	⏰
:albania:	🇦🇱
:alembic:	⚗️
:algeria:	🇩🇿
:alien:	👽
:alien_monster:	👾
:ambulance:	🚑
:american_football:	🏈
:american_samoa:	🇦🇸
:amphora:	🏺
:anatomical_heart:	🫀
:anchor:	⚓
:andorra:	🇦🇩
:angel:	👼
:angel_tone1:	👼🏻
:angel_tone2:	👼🏼
:angel_tone3:	👼🏽
:angel_tone4:	👼🏾
:angel_tone5:	👼🏿
:anger:	💢
:anger_right:	🗯
:anger_symbol:	💢
:angola:	🇦🇴
:angry:	😠
:angry_face:	😠
:angry_face_with_horns:	👿
:anguilla:	🇦🇮
:anguished:	😧
:anguished_face:	😧
:ant:	🐜
:antarctica:	🇦🇶
:antenna_bars:	📶
:antigua_barbuda:	🇦🇬
:anxious_face_with_sweat:	😰
:apple:	🍎
:aquarius:	♒
:argentina:	🇦🇷
:aries:	♈
:armenia:	🇦🇲
:arrow_backward:	◀️
:arrow_double_down:	⏬
:arrow_double_up:	⏫
:arrow_down:	⬇️
:arrow_down_small:	🔽
:arrow_forward:	▶️
:arrow_heading_down:	⤵️
:arrow_heading_up:	⤴️
:arrow_left:	⬅️
:arrow_lower_left:	↙️
:arrow_lower_right:	↘️
:arrow_right:	➡️
:arrow_right_hook:	↪️
:arrow_up:	⬆️
:arrow_up_down:	↕️
:arrow_up_small:	🔼
:arrow_upper_left:	↖️
:arrow_upper_right:	↗️
:arrows_clockwise:	🔃
:arrows_counterclockwise:	🔄
:art:	🎨
:articulated_lorry:	🚛
:artificial_satellite:	🛰️
:artist:	🧑‍🎨
:artist_palette:	🎨
:aruba:	🇦🇼
:ascension_island:	🇦🇨
:asterisk:	*️⃣
:astonished:	😲
:astonished_face:	😲
:astronaut:	🧑‍🚀
:athletic_shoe:	👟
:atm:	🏧
:atom:	⚛
:atom_symbol:	⚛️
:australia:	🇦🇺
:austria:	🇦🇹
:auto_rickshaw:	🛺
:automobile:	🚗
:avocado:	🥑
:axe:	🪓
:azerbaijan:	🇦🇿
:b:	🅱️
:baby:	👶
