typescript		74
ts		74
haxe		208
hx		208
slim		196
doc	󰈬	26
scala		167
typescriptreact		26
tsx		26
swift		166
sqlite3		188
eex		140
hex		27
gql		199
norg		32
srt	󰨖	214
csh		240
motoko		135
mo		135
elf		124
pdf		124
cs	󰌛	58
http		31
godot		66
mint	󰌪	108
ino		73
license		185
org		73
ada		111
conf		66
julia		133
jl		133
zsh		113
apl		35
dump		188
pck		66
fsharp		74
f#		74
zig		172
styl		113
coffee		185
cr		251
xslt	󰗀	74
perl		74
pl		74
dosbatch		191
bat		191
xlsx	󰈛	29
bmp		140
ocaml		166
ml		166
xls	󰈛	29
suo		98
lock		250
jpeg		140
liquid		106
odin	󰟢	32
webm		208
otf		255
dart		25
desktop		54
wasm		62
systemverilog	󰍛	28
sv	󰍛	28
tads		74
t		74
vue		113
markdown		253
glb		214
toml		124
vim		28
vhdl	󰍛	28
vhd	󰍛	28
dropbox		27
tscn		66
bicep		74
psd		74
leex		140
tmux		34
verilog	󰍛	28
v	󰍛	28
python		214
py		214
elixir		140
ex		140
xcplayground		166
typst		37
typ		37
twig		113
gleam		219
java		167
clojure		113
clj		113
bzl		113
jsonl		185
lua		74
tres		66
mdx		74
docx	󰈬	26
tf		93
csv		113
webpack	󰜫	74
tex		22
cmake		254
fish		240
templ		178
cp		74
sqlite		188
tcl	󰛓	25
log	󰌱	253
c		111
haskell		140
hs		140
scheme	󰘧	255
scm	󰘧	255
d		124
bicepparam		133
svelte		196
drools		217
drl		217
prolog		179
pro		179
sublime		166
yaml		160
openscad		220
scad		220
stp	󰻫	101
r	󰟔	25
kotlin		99
kt		99
nix		110
epuppet		214
epp		214
sql		188
po		31
css		91
avif		140
solidity		74
sol		74
fsx		74
jsonc		185
env		227
javascriptreact		45
jsx		45
bash		113 
shell		113
go		38
sln		98
cobol		25
sh		240
asm		31
xml	󰗀	166
fennel		230
fnl		230
erlang		163
erl		163
svg	󰜡	214
sml	󰘧	166
sass		204
qml		77
cson		185
bqn		35
lprolog	󰘧	166
sig	󰘧	166
astro		197
rust		216
rs		216
json		185
psb		74
rasi		185
rproj	󰗆	29
rlib		216
awk		240
rmd		74
ssa	󰨖	214
jpg		140
vala		91
obj	󰆧	102
fsi		74
pyd		222
nim		220
psm1	󰨊	68
puppet		214
pp		214
pyc		222
psd1	󰨊	68
ps1	󰨊	68 
powershell	󰨊	68
fsscript		74
pyo		222
diff		239
dot	󱁉	24
idlang		179
html		196
blueprint	󰺾	68
blp	󰺾	68
elm		74
png		140
plaintex		22
graphql		199
opus		24
ipynb		208
text	󰈙	113
txt	󰈙	113
ppt	󰈧	160
nu		36
git		196
cuda		113
cu		113
glsl		67
import		255
javascript		185
js		185
dosini		66
ini		66
mojo		196
forth		74
fs		74
material		163
make		66
makefile		66
heex		140
cfg		66
fortran	󱈚	97
f90	󱈚	97
lhaskell		140
lhs		140
less		54
json5		185
ruby		52
rb		52
eruby		52
erb		52
query		107
javascript.jsx		45
mustache		166
ico		185
cpp		74
luau		75
scss		204
gd		66
webp		140
php		140
ejs		185
bib	󱉟	185
gif		140
haml		255
sbt		167
prisma		62
terminal		34
postscr		185
ai		185
hbs		202
